"scenario","stage","block","uid:1"
1,1,1,-1900.0000000000005
1,1,2,-1900.0000000000005
1,1,3,-1900.0000000000005
1,1,4,-1900.0000000000005
1,1,5,-1900.0000000000005
1,1,6,-1900.0000000000005
1,1,7,-1900.0000000000005
1,1,8,-1900.0000000000005
1,1,9,-1900.0000000000005
1,1,10,-1900.0000000000005
1,1,11,-1900.0000000000005
1,1,12,-1900.0000000000005
1,1,13,-1900.0000000000005
1,1,14,-1900.0000000000005
1,1,15,-1900.0000000000005
1,1,16,-1900.0000000000005
1,1,17,-1900.0000000000005
1,1,18,-1900.0000000000005
1,1,19,-1900.0000000000005
1,1,20,-1900.0000000000005
1,1,21,-1900.0000000000005
1,1,22,-1900.0000000000005
1,1,23,-1900.0000000000005
1,1,24,-1900.0000000000005
