"scenario","stage","block","uid","value"
1,1,1,1,30
1,1,2,1,28
1,1,3,1,27
1,1,4,1,27
1,1,5,1,28
1,1,6,1,32
1,1,7,1,40
1,1,8,1,55
1,1,9,1,70
1,1,10,1,80
1,1,11,1,85
1,1,12,1,88
1,1,13,1,90
1,1,14,1,88
1,1,15,1,84
1,1,16,1,80
1,1,17,1,82
1,1,18,1,88
1,1,19,1,100
1,1,20,1,110
1,1,21,1,105
1,1,22,1,95
1,1,23,1,75
1,1,24,1,50
1,1,1,2,20
1,1,2,2,18
1,1,3,2,17
1,1,4,2,17
1,1,5,2,18
1,1,6,2,22
1,1,7,2,28
1,1,8,2,38
1,1,9,2,48
1,1,10,2,55
1,1,11,2,58
1,1,12,2,60
1,1,13,2,62
1,1,14,2,60
1,1,15,2,57
1,1,16,2,55
1,1,17,2,56
1,1,18,2,60
1,1,19,2,68
1,1,20,2,75
1,1,21,2,72
1,1,22,2,65
1,1,23,2,50
1,1,24,2,32
1,1,12,3,14
1,1,13,3,28
1,1,14,3,23
1,1,15,3,12
1,1,16,3,42.137398
1,1,17,3,60
1,1,18,3,27.4
