"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11"
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0
1,1,6,0,0,0,0,0,0,0,0,0,0,0
1,1,7,0,0,0,0,0,0,0,0,0,0,0
1,1,8,0,0,0,0,0,0,0,0,0,0,0
1,1,9,0,0,0,0,0,0,0,0,0,0,0
1,1,10,0,0,0,0,0,0,0,0,0,0,0
1,1,11,0,0,0,0,0,0,0,0,0,0,0
1,1,12,0,0,0,0,0,0,0,0,0,0,0
1,1,13,0,0,0,0,0,0,0,0,0,0,0
1,1,14,0,0,0,0,0,0,0,0,0,0,0
1,1,15,0,0,0,0,0,0,0,0,0,0,0
1,1,16,0,0,0,0,0,0,0,0,0,0,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0
1,1,18,0,0,0,0,0,0,0,0,0,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0
1,1,20,0,0,0,0,0,0,0,0,0,0,0
1,1,21,0,0,0,0,0,0,0,0,0,0,0
1,1,22,0,0,0,0,0,0,0,0,0,0,0
1,1,23,0,0,0,0,0,0,0,0,0,0,0
1,1,24,0,0,0,0,0,0,0,0,0,0,0
