scene,phase,status,status_name,obj_value,kappa
1,1,1,infeasible,28823663.464969486,1
1,2,0,optimal,28595398.548334174,1
1,3,0,optimal,28334658.36070159,1
1,4,0,optimal,28106507.38181481,1
1,5,0,optimal,27854731.374906898,1
1,6,0,optimal,27577372.25730734,1
1,7,0,optimal,27295968.21059238,1
1,8,0,optimal,27016478.13273258,1
1,9,0,optimal,26785091.59378871,1
1,10,0,optimal,26518115.951564886,1
1,11,0,optimal,26250432.80768083,1
1,12,0,optimal,25995735.791064397,1
1,13,0,optimal,25778170.90156232,1
1,14,0,optimal,25531150.814073987,1
1,15,0,optimal,25316941.992899846,1
1,16,0,optimal,25068806.280469313,1
1,17,0,optimal,24856207.965738885,1
1,18,0,optimal,24619811.88517928,1
1,19,0,optimal,24384388.063547764,1
1,20,0,optimal,24144383.668963503,1
1,21,0,optimal,23952985.698500313,1
1,22,0,optimal,23729177.403780233,1
1,23,0,optimal,23537203.59042301,1
1,24,0,optimal,23314876.947719336,1
1,25,0,optimal,22443452.937509585,1
1,26,0,optimal,21542048.458614238,1
1,27,0,optimal,20713518.372856922,1
1,28,0,optimal,19798116.445117075,1
1,29,2,unbounded,18872386.730535187,1
1,30,0,optimal,17893424.043303072,1
1,31,0,optimal,16937867.82806465,1
1,32,0,optimal,15998418.53727629,1
1,33,0,optimal,15139030.552468285,1
1,34,0,optimal,14392648.772880517,1
1,35,0,optimal,13647507.19953959,1
1,36,0,optimal,12974804.160886353,1
1,37,0,optimal,12236318.836127011,1
1,38,0,optimal,11535150.188685562,1
1,39,0,optimal,10884348.440160448,1
1,40,0,optimal,10062417.488652252,1
1,41,0,optimal,9277274.6965212,1
1,42,0,optimal,8380755.714865073,1
1,43,0,optimal,7533861.015215184,1
1,44,0,optimal,6724280.443923236,1
1,45,0,optimal,5966265.338798525,1
1,46,0,optimal,5262053.166371804,1
1,47,0,optimal,4584375.105957525,1
1,48,0,optimal,3974094.1035172986,1
1,49,0,optimal,3327011.036229561,1
1,50,0,optimal,2694139.289843887,1
1,51,2,unbounded,2403873.6596456175,1
