Hidro, IBlo, CostoOperActual
Sim  1  ,   1,          1000.000
Sim  1  ,   2,           920.000
Sim  1  ,   3,           880.000
Sim  1  ,   4,           880.000
Sim  1  ,   5,           920.000
Sim  1  ,   6,          1080.000
Sim  1  ,   7,          1270.000
Sim  1  ,   8,          1590.000
Sim  1  ,   9,          1730.000
Sim  1  ,  10,          1710.000
Sim  1  ,  11,          1510.000
Sim  1  ,  12,          1340.000
Sim  1  ,  13,          1240.000
Sim  1  ,  14,          1250.000
Sim  1  ,  15,          1290.000
Sim  1  ,  16,          1440.000
Sim  1  ,  17,          1860.000
Sim  1  ,  18,          2420.000
Sim  1  ,  19,          3180.000
Sim  1  ,  20,          3664.000
Sim  1  ,  21,          3540.000
Sim  1  ,  22,          3200.000
Sim  1  ,  23,          2500.000
Sim  1  ,  24,          1640.000
MEDIA   ,   1,          1000.000
MEDIA   ,   2,           920.000
MEDIA   ,   3,           880.000
MEDIA   ,   4,           880.000
MEDIA   ,   5,           920.000
MEDIA   ,   6,          1080.000
MEDIA   ,   7,          1270.000
MEDIA   ,   8,          1590.000
MEDIA   ,   9,          1730.000
MEDIA   ,  10,          1710.000
MEDIA   ,  11,          1510.000
MEDIA   ,  12,          1340.000
MEDIA   ,  13,          1240.000
MEDIA   ,  14,          1250.000
MEDIA   ,  15,          1290.000
MEDIA   ,  16,          1440.000
MEDIA   ,  17,          1860.000
MEDIA   ,  18,          2420.000
MEDIA   ,  19,          3180.000
MEDIA   ,  20,          3664.000
MEDIA   ,  21,          3540.000
MEDIA   ,  22,          3200.000
MEDIA   ,  23,          2500.000
MEDIA   ,  24,          1640.000
